#,Event Id,Event Name,Event Type,Player Id,Attending What,Age,Gender,Nationality,Disability,Event Date,Event Name,Zone
159,535,Sydbyen - Streetbasket,Street Basketball,2206210227,No,18,Female,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
160,535,Sydbyen - Streetbasket,Street Basketball,2206210151,No,15,Female,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
161,535,Sydbyen - Streetbasket,Street Basketball,2106210019,"Yes, Sport",14,Female,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
162,535,Sydbyen - Streetbasket,Street Basketball,2106210018,No,11,Female,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
163,535,Sydbyen - Streetbasket,Street Basketball,2106210035,"Yes, Sport",9,Female,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
164,535,Sydbyen - Streetbasket,Street Basketball,2106210013,No,13,Female,,No,2/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
165,535,Sydbyen - Streetbasket,Street Basketball,2206210225,No,13,Male,,No,3/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
166,535,Sydbyen - Streetbasket,Street Basketball,2206210210,No,15,Female,,No,3/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
167,535,Sydbyen - Streetbasket,Street Basketball,2206210110,No,9,Female,,No,3/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
168,535,Sydbyen - Streetbasket,Street Basketball,2206210121,No,10,Female,,No,3/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
169,535,Sydbyen - Streetbasket,Street Basketball,2206210119,No,11,Female,,No,3/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
170,535,Sydbyen - Streetbasket,Street Basketball,2106210002,"Yes, Sport",14,Male,,No,3/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
171,535,Sydbyen - Streetbasket,Street Basketball,2106210023,"Yes, Sport",13,Male,,No,3/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
172,535,Sydbyen - Streetbasket,Street Basketball,2206210065,"Yes, Sport",18,Male,,No,3/23/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
173,535,Sydbyen - Streetbasket,Street Basketball,2206210065,"Yes, Sport",18,Male,,No,4/13/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
174,535,Sydbyen - Streetbasket,Street Basketball,2106210002,"Yes, Sport",14,Male,,No,4/13/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
175,535,Sydbyen - Streetbasket,Street Basketball,2206210089,No,11,Male,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
176,535,Sydbyen - Streetbasket,Street Basketball,2306210293,"Yes, Sport",10,Male,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
177,535,Sydbyen - Streetbasket,Street Basketball,2206210083,No,10,Male,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
178,535,Sydbyen - Streetbasket,Street Basketball,2106210032,"Yes, Sport",10,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
179,535,Sydbyen - Streetbasket,Street Basketball,2306210294,No,20,Male,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
180,535,Sydbyen - Streetbasket,Street Basketball,2206210211,No,13,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
